iter	Passed	Remaining
400	19798	4887
401	19840	4836
402	19872	4783
403	19912	4731
404	19952	4680
405	19998	4630
406	20043	4580
407	20094	4531
408	20154	4484
409	20193	4432
410	20248	4384
411	20312	4338
412	20382	4293
413	20434	4244
414	20493	4197
415	20542	4147
416	20632	4106
417	20698	4060
418	20741	4009
419	20805	3962
420	20865	3915
421	20931	3868
422	20975	3818
423	21022	3768
424	21069	3718
425	21109	3666
426	21152	3616
427	21196	3565
428	21251	3517
429	21302	3467
430	21343	3416
431	21435	3374
432	21494	3326
433	21568	3280
434	21635	3232
435	21685	3183
436	21733	3133
437	21788	3084
438	21832	3033
439	21848	2979
440	21918	2932
441	21988	2885
442	22031	2834
443	22093	2786
444	22141	2736
445	22203	2688
446	22248	2638
447	22313	2589
448	22376	2541
449	22432	2492
450	22478	2442
451	22546	2394
452	22593	2344
453	22705	2300
454	22833	2258
455	22923	2211
456	23125	2175
457	23254	2132
458	23395	2089
459	23488	2042
460	23547	1992
461	23595	1940
462	23681	1892
463	23770	1844
464	23820	1792
465	23864	1741
466	23917	1690
467	23964	1638
468	24013	1587
469	24060	1535
470	24125	1485
471	24186	1434
472	24256	1384
473	24299	1332
474	24347	1281
475	24404	1230
476	24460	1179
477	24519	1128
478	24573	1077
479	24617	1025
480	24667	974
481	24750	924
482	24844	874
483	24941	824
484	25036	774
485	25093	722
486	25153	671
487	25197	619
488	25246	567
489	25305	516
490	25353	464
491	25399	413
492	25441	361
493	25489	309
494	25549	258
495	25608	206
496	25653	154
497	25711	103
498	25774	51
499	25857	0
