iter	Logloss
333	0.0935256147
334	0.093401859
335	0.09327248035
336	0.0931941382
337	0.09308515557
338	0.09305054355
339	0.09289828023
340	0.0927621485
341	0.09265077513
342	0.09258792852
343	0.09250560308
344	0.09243908239
345	0.09227965595
346	0.09217583492
347	0.09207211114
348	0.09196587291
349	0.09189581074
350	0.09181038931
351	0.09172089699
352	0.09160789224
353	0.09154577707
354	0.09147468383
355	0.09138615413
356	0.09129852022
357	0.09125014698
358	0.09117693304
359	0.09110988924
360	0.09100543148
361	0.09090492275
362	0.09082105106
363	0.09073472578
364	0.09064144088
365	0.09052274209
366	0.09044779546
367	0.09034522134
368	0.09027131582
369	0.09016918309
370	0.09010880422
371	0.09003166338
372	0.08997739188
373	0.08990534234
374	0.08977475344
375	0.08971621511
376	0.08961482807
377	0.08953727461
378	0.08937815385
379	0.08924584212
380	0.08920680634
381	0.08913384944
382	0.08902461697
383	0.08895164747
384	0.08881177887
385	0.08868588074
386	0.08858332697
387	0.08846229038
388	0.08834140797
389	0.08828999545
390	0.08821675194
391	0.08814302912
392	0.08807454911
393	0.08799394667
394	0.0878396377
395	0.08780598839
396	0.08772928821
397	0.08761131143
398	0.08755354806
399	0.08749936359
400	0.08740309099
401	0.0873458315
402	0.08728327616
403	0.08721549583
404	0.08709823593
405	0.08700149972
406	0.08692661147
407	0.08686335027
408	0.0867736492
409	0.08669308653
410	0.08662645836
411	0.08655951188
412	0.08651151362
413	0.08642725344
414	0.08632917414
415	0.0862613039
416	0.08616395013
417	0.08609837935
418	0.08604347231
419	0.0859174931
420	0.08584726491
421	0.08579985686
422	0.08569244326
423	0.08558797698
424	0.08551888429
425	0.08544710085
426	0.08539231591
427	0.08531634546
428	0.08522136695
429	0.08514284447
430	0.08510127448
431	0.08500135829
432	0.08485655225
433	0.0847802535
434	0.08471818861
435	0.08460079297
436	0.08449251876
437	0.08434479312
438	0.08427812484
439	0.08427713502
440	0.08420817311
441	0.08411364573
442	0.08404963625
443	0.08395833481
444	0.08384486726
445	0.08367216009
446	0.08359801612
447	0.08353932417
448	0.08350860111
449	0.08344857678
450	0.08337790476
451	0.08326352753
452	0.08324684005
453	0.08313252441
454	0.08308608725
455	0.08304107614
456	0.08297299896
457	0.08288670066
458	0.08279293794
459	0.08271430482
460	0.08261462954
461	0.08254157139
462	0.0824174253
463	0.0823306362
464	0.0822495145
465	0.08215572559
466	0.08209878709
467	0.08203104461
468	0.08193515385
469	0.08188836054
470	0.08181740429
471	0.08171733673
472	0.08164845394
473	0.0815752255
474	0.08149237813
475	0.08137741154
476	0.0813083629
477	0.0812105344
478	0.08115230476
479	0.08107821286
480	0.08102981145
481	0.08092903615
482	0.08080559556
483	0.08068607047
484	0.08060129737
485	0.08052602873
486	0.0804433221
487	0.08038107823
488	0.08030123283
489	0.08024610562
490	0.08017319598
491	0.08009904478
492	0.08003664389
493	0.0799493356
494	0.07988570889
495	0.07980322901
496	0.07972271991
497	0.07964288228
498	0.07957893818
499	0.07950008927
