iter	Logloss
0	0.6416147575
1	0.576534409
2	0.529028636
3	0.4963436649
4	0.4540575736
5	0.4238691639
6	0.3985770699
7	0.3781445932
8	0.3602124335
9	0.3354684595
10	0.3222935655
11	0.3086120458
12	0.2991090993
13	0.287610395
14	0.2801835074
15	0.2698257407
16	0.2602544804
17	0.2535579822
18	0.2486116738
19	0.2436833802
20	0.2391335705
21	0.2346321186
22	0.2307150028
23	0.2274086099
24	0.2200392403
25	0.2152332034
26	0.2110590572
27	0.2035438429
28	0.2008533929
29	0.1984402261
30	0.1927678745
31	0.1906033859
32	0.1882922701
33	0.1866382184
34	0.1846706001
35	0.1833175792
36	0.1815207628
37	0.1799528796
38	0.176444491
39	0.173270728
40	0.1721386366
41	0.1707778547
42	0.1690057499
43	0.1679652392
44	0.1667274642
45	0.165572253
46	0.1646010399
47	0.1637763695
48	0.1631216164
49	0.1622289511
50	0.1617657902
51	0.1605836376
52	0.1585026765
53	0.1576017898
54	0.1567996257
55	0.1558258656
56	0.1549935535
57	0.154433324
58	0.1534967264
59	0.1527536702
60	0.1520060305
61	0.1512537457
62	0.1503873321
63	0.1495026793
64	0.1491480357
65	0.1486465325
66	0.1479938523
67	0.1474036484
68	0.1469730587
69	0.1464971526
70	0.1456257114
71	0.1451551977
72	0.1444559027
73	0.1434493728
74	0.1430809146
75	0.1427957738
76	0.1415487269
77	0.1412758421
78	0.1403713159
79	0.1399760101
80	0.1393113488
81	0.1389447704
82	0.1384787682
83	0.1381305049
84	0.1378266663
85	0.1374475693
86	0.1371313146
87	0.136782261
88	0.1365195463
89	0.1361752922
90	0.1358736714
91	0.1353816914
92	0.1350646172
93	0.1344462988
94	0.1341356841
95	0.1328268396
96	0.1326432131
97	0.132329807
98	0.1318926406
99	0.1315551489
100	0.1312974775
101	0.130993422
102	0.1307799256
103	0.1304988676
104	0.1302355048
105	0.1298140374
106	0.1294953791
107	0.1291444198
108	0.1289868026
109	0.1286982164
110	0.1278003769
111	0.1276439999
112	0.1273020629
113	0.1271272476
114	0.1269828688
115	0.126754599
116	0.1262352895
117	0.1261191102
118	0.1258698505
119	0.1256001995
120	0.1254503324
121	0.125199581
122	0.1250654412
123	0.1248693883
124	0.1245840878
125	0.1243321794
126	0.1241741919
127	0.123894553
128	0.1236432496
129	0.1234937493
130	0.1231109886
131	0.122854634
132	0.1226998164
133	0.1225518161
134	0.1221494384
135	0.1219520659
136	0.1217820475
137	0.121559345
138	0.1213872809
139	0.121057201
140	0.1208235482
141	0.1206591236
142	0.1205046322
143	0.1203174463
144	0.1200716271
145	0.1198730955
146	0.1197248594
147	0.1194858091
148	0.1193270455
149	0.1192043186
150	0.1189724231
151	0.1187882066
152	0.1185358586
153	0.1184122362
154	0.1182572951
155	0.1179762904
156	0.1178380816
157	0.1175351465
158	0.1174571634
159	0.117273769
160	0.1170726706
161	0.1168921654
162	0.1167601277
163	0.1165285372
164	0.1162316615
165	0.116115267
166	0.1159413657
167	0.1157763992
168	0.1155871114
169	0.1153838885
170	0.1152543551
171	0.1151364579
172	0.1150094377
173	0.1148253304
174	0.1146392542
175	0.1144568172
176	0.1142971306
177	0.1141527541
178	0.1137683711
179	0.1136214158
180	0.1134392654
181	0.1132880514
182	0.1131879463
183	0.1130093668
184	0.112884083
185	0.1127548883
186	0.112629069
187	0.112335801
188	0.1122103217
189	0.1120988045
190	0.1119032989
191	0.1117656111
192	0.1115752711
193	0.1114448701
194	0.111361276
195	0.1111107889
196	0.1109852794
197	0.1108516257
198	0.1107587572
199	0.1105287405
200	0.1104263702
201	0.1102939
202	0.1100596138
203	0.1099669321
204	0.1098204364
205	0.1096925844
206	0.1095177311
207	0.1094120664
208	0.1092917572
209	0.1092323938
210	0.1091023425
211	0.108893159
212	0.1087003372
213	0.1085113738
214	0.1083741153
215	0.1082618459
216	0.1081599598
217	0.1079633354
218	0.1078133445
219	0.1076216041
220	0.1072954684
221	0.1071798742
222	0.1070480006
223	0.1069392738
224	0.1068203636
225	0.1066719234
226	0.1062438876
227	0.1061383705
228	0.1059946882
229	0.1058516502
230	0.1055777698
231	0.1054281676
232	0.1053109321
233	0.1051724835
234	0.1050135745
235	0.1047849579
236	0.1046332917
237	0.1045370618
238	0.1043764943
239	0.1042300288
240	0.1041346222
241	0.1040072052
242	0.1038532128
243	0.1037879875
244	0.1036544729
245	0.1035380251
246	0.1034302993
247	0.1032524392
248	0.1031280728
249	0.1030465774
250	0.1028977029
251	0.1027162776
252	0.1025849294
253	0.1024440934
254	0.1023264564
255	0.1022136197
256	0.1021307658
257	0.1020169511
258	0.1018823574
259	0.1017981129
260	0.1016805844
261	0.1015888868
262	0.1014518258
263	0.1013252308
264	0.1011884235
265	0.1011108329
266	0.100985267
267	0.1007719838
268	0.1006659711
269	0.1005430659
270	0.1003903196
271	0.1002584389
272	0.1001337302
273	0.1000817544
274	0.09999182616
275	0.09980813773
276	0.09967421658
277	0.09951363798
278	0.09937955528
279	0.09923609701
280	0.09911476356
281	0.09900656508
282	0.09887168665
283	0.09872228534
284	0.09864848263
285	0.09854892851
286	0.09835851431
287	0.09825629214
288	0.09799140317
289	0.09784252584
290	0.09769192139
291	0.09759245768
292	0.09749168914
293	0.0973719399
294	0.0972970294
295	0.09729367283
296	0.09716156914
297	0.09691816735
298	0.09684329306
299	0.09672756952
300	0.09661414278
301	0.09654424986
302	0.09641570241
303	0.09630407926
304	0.09621316907
305	0.09609945419
306	0.09602547118
307	0.09593946602
308	0.09588364871
309	0.09576668368
310	0.09566884772
311	0.09560476166
312	0.09549074259
313	0.09538586194
314	0.09526869063
315	0.09516683852
316	0.09508378385
317	0.09497883332
318	0.0948691871
319	0.0947707503
320	0.09471618785
321	0.0946143536
322	0.09455073592
323	0.09442258109
324	0.09434289469
325	0.09419375571
326	0.09406054401
327	0.09397410576
328	0.09388312252
329	0.09388084842
330	0.09378924957
331	0.09370077586
332	0.0935875816
